ID_MUNICIPI,CITY,POSTAL,PROVINCE
1,Aiguamúrcia,430017,Tarragona
2,Alcover,430056,Tarragona
3,Alió,430108,Tarragona
4,Bràfim,430347,Tarragona
5,Cabra del Camp,430363,Tarragona
6,El Milà,430831,Tarragona
7,El Pla de Santa Maria,431080,Tarragona
8,El Pont d'Armentera,431135,Tarragona
9,El Rourell,431346,Tarragona
10,Els Garidells,430666,Tarragona
11,Figuerola del Camp,430593,Tarragona
12,La Masó,430803,Tarragona
13,La Riba,431248,Tarragona
14,Montferri,430897,Tarragona
15,Mont-ral,430918,Tarragona
16,Nulles,430982,Tarragona
17,Picamoixons,431613,Tarragona
18,Puigpelat,431191,Tarragona
19,Querol,431205,Tarragona
20,Rodonyà,431325,Tarragona
21,Vallmoll,431606,Tarragona
22,Valls,431613,Tarragona
23,Vilabella,431652,Tarragona
24,Vila-rodona,431704,Tarragona
25,Alforja,430094,Tarragona
26,Almoster,430115,Tarragona
27,Botarell,430332,Tarragona
28,Cambrils,430385,Tarragona
29,Capafonts,430398,Tarragona
30,Castellvell del Camp,430424,Tarragona
31,Colldejou,430458,Tarragona
32,Duesaigües,430537,Tarragona
33,La Febró,430574,Tarragona
34,La Selva del Camp,431457,Tarragona
35,L'Albiol,430038,Tarragona
36,L'Aleixar,430075,Tarragona
37,Arbolí,430154,Tarragona
38,L'Argentera,430173,Tarragona
39,Les Borges del Camp,430311,Tarragona
40,Maspujols,430810,Tarragona
41,Montbrió del Camp,430884,Tarragona
42,Mont-roig del Camp,430923,Tarragona
43,Prades,431166,Tarragona
44,Pratdip,431188,Tarragona
45,Reus,431233,Tarragona
46,Riudecanyes,431270,Tarragona
47,Riudecols,431286,Tarragona
48,Riudoms,431299,Tarragona
49,Vandellòs i l'Hospitalet de l'Infant,431628,Tarragona
50,Vilanova d'Escornalbou,431671,Tarragona
51,Vilaplana,431690,Tarragona
52,Vinyols i els Arcs,431785,Tarragona
53,Aldover,430069,Tarragona
54,Alfara de Carles,430081,Tarragona
55,Benifallet,430252,Tarragona
56,Camarles,439039,Tarragona
57,Deltebre,439018,Tarragona
58,El Perelló,431042,Tarragona
